FAT_YEARMONTH,FAT_DAY,FAT_TIME,FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_DATE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION,EVENT_YEARMONTH
201202,22,0,17589,365156,"I","02/22/2012 00:00:00",73,"F","Outside/Open Areas",201202
201203,3,0,17843,365191,"I","03/03/2012 00:00:00",83,"F","Outside/Open Areas",201203
201202,24,0,17651,366667,"D","02/24/2012 00:00:00",56,"M","Permanent Home",201202
201206,16,0,18463,395354,"D","06/16/2012 00:00:00",56,"M","In Water",201206
201207,13,0,18552,397290,"D","07/13/2012 00:00:00",52,"M","Under Tree",201207
201209,24,0,19677,406779,"D","09/24/2012 00:00:00",51,"M","In Water",201209
201210,23,0,18984,411490,"D","10/23/2012 00:00:00",14,"M","Camping",201210
201210,29,0,1007166,413100,"D","10/29/2012 00:00:00",55,"M","Outside/Open Areas",201210
201210,29,0,19813,413102,"D","10/29/2012 00:00:00",,"M","Outside/Open Areas",201210
201210,29,0,19553,413112,"D","10/29/2012 00:00:00",,"","Permanent Home",201210
201210,29,0,1007171,413112,"D","10/29/2012 00:00:00",77,"M","Permanent Home",201210
201210,29,0,1007172,413112,"I","10/29/2012 00:00:00",83,"M","Permanent Home",201210
201210,29,0,1007177,413117,"I","10/29/2012 00:00:00",,"","Permanent Home",201210
201210,29,0,1007178,413117,"I","10/29/2012 00:00:00",65,"M","Permanent Home",201210
201210,31,0,1007179,413117,"I","10/31/2012 00:00:00",18,"F","Permanent Home",201210
201210,31,0,1007180,413117,"I","10/31/2012 00:00:00",19,"F","Permanent Home",201210
201210,29,0,1007181,413117,"I","10/29/2012 00:00:00",61,"M","Permanent Home",201210
201210,29,0,1007173,413118,"I","10/29/2012 00:00:00",65,"F","Permanent Home",201210
201210,29,0,1007174,413118,"I","10/29/2012 00:00:00",86,"F","Permanent Home",201210
201210,29,0,19817,413123,"D","10/29/2012 00:00:00",,"M","Permanent Home",201210
201210,29,0,1007164,413124,"D","10/29/2012 00:00:00",54,"M","Outside/Open Areas",201210
201210,29,0,1007170,413125,"D","10/29/2012 00:00:00",30,"M","Permanent Home",201210
201210,29,0,19819,415921,"D","10/29/2012 00:00:00",80,"M","Permanent Home",201210
201211,5,0,19820,415924,"I","11/05/2012 00:00:00",57,"F","Outside/Open Areas",201210
201210,29,0,19822,415924,"D","10/29/2012 00:00:00",39,"M","Outside/Open Areas",201210
201210,29,0,19821,415924,"D","10/29/2012 00:00:00",,"M","Under Tree",201210
201210,30,0,19824,415924,"I","10/30/2012 00:00:00",66,"M","Under Tree",201210
201210,30,0,19823,415924,"I","10/30/2012 00:00:00",21,"F","Vehicle/Towed Trailer",201210
201211,4,0,19830,415925,"I","11/04/2012 00:00:00",87,"M","Permanent Home",201210
201210,29,0,19832,415925,"D","10/29/2012 00:00:00",84,"M","Under Tree",201210
201210,30,0,19831,415925,"I","10/30/2012 00:00:00",20,"M","Vehicle/Towed Trailer",201210
201211,5,0,19848,415926,"I","11/05/2012 00:00:00",55,"F","Camping",201210
201211,8,0,19843,415926,"D","11/08/2012 00:00:00",59,"M","Outside/Open Areas",201210
201211,8,0,19846,415926,"I","11/08/2012 00:00:00",59,"F","Outside/Open Areas",201210
201211,4,0,19844,415926,"I","11/04/2012 00:00:00",44,"F","Permanent Home",201210
201211,2,0,19847,415926,"I","11/02/2012 00:00:00",79,"F","Permanent Home",201210
201210,29,0,19811,415927,"D","10/29/2012 00:00:00",11,"M","Permanent Home",201210
201210,29,0,19812,415927,"D","10/29/2012 00:00:00",13,"M","Permanent Home",201210
201212,9,0,1007216,415936,"I","12/09/2012 00:00:00",21,"M","Vehicle/Towed Trailer",201212
201210,13,0,1006897,409003,"D","10/13/2012 00:00:00",14,"M","In Water",201210
201210,26,0,1006935,411052,"D","10/26/2012 00:00:00",51,"M","Other",201210
201210,29,0,1007136,411591,"D","10/29/2012 00:00:00",8,"M","Under Tree",201210
201210,30,0,1006978,412894,"D","10/30/2012 00:00:00",60,"M","Outside/Open Areas",201210
201210,30,0,1006980,412894,"I","10/30/2012 00:00:00",62,"M","Outside/Open Areas",201210
201210,30,0,1007032,413166,"I","10/30/2012 00:00:00",81,"F","In Water",201210
201210,29,0,1007034,415189,"D","10/29/2012 00:00:00",69,"F","Vehicle/Towed Trailer",201210
201210,3,0,1007059,416015,"D","10/03/2012 00:00:00",11,"M","Ball Field",201210
201210,30,0,1007064,416315,"D","10/30/2012 00:00:00",51,"M","Other",201210
201210,29,0,1007067,416731,"D","10/29/2012 00:00:00",90,"F","Under Tree",201210
201210,29,0,1007132,417229,"D","10/29/2012 00:00:00",25,"M","Vehicle/Towed Trailer",201210
201210,29,0,1007133,417767,"I","10/29/2012 00:00:00",40,"F","Vehicle/Towed Trailer",201210
201210,2,0,1007135,418259,"D","10/02/2012 00:00:00",,"M","Outside/Open Areas",201210
201212,10,0,1007057,415901,"I","12/10/2012 00:00:00",56,"F","Vehicle/Towed Trailer",201212
201212,19,0,19362,418711,"I","12/19/2012 00:00:00",63,"M","Vehicle/Towed Trailer",201212
201212,26,0,1007167,419040,"D","12/26/2012 00:00:00",60,"M","Permanent Home",201212
201212,19,0,1007138,419313,"D","12/19/2012 00:00:00",31,"M","In Water",201212
201212,21,0,1007140,419341,"D","12/21/2012 00:00:00",,"M","Vehicle/Towed Trailer",201212
201212,21,0,1007139,419342,"D","12/21/2012 00:00:00",,"M","Vehicle/Towed Trailer",201212
201212,19,0,1007146,419848,"I","12/19/2012 00:00:00",,"M","Vehicle/Towed Trailer",201212
201212,15,0,1007147,420320,"D","12/15/2012 00:00:00",51,"M","Outside/Open Areas",201212
201212,21,0,1007163,421204,"D","12/21/2012 00:00:00",23,"M","In Water",201212
201210,30,0,19220,417015,"I","10/30/2012 00:00:00",69,"F","Outside/Open Areas",201210
201210,30,0,19221,417016,"I","10/30/2012 00:00:00",93,"M","Outside/Open Areas",201210
201210,29,0,19236,417018,"D","10/29/2012 00:00:00",43,"M","Outside/Open Areas",201210
201209,7,0,18566,399038,"D","09/07/2012 00:00:00",73,"M","Mobile/Trailer Home",201209
201209,7,0,18567,399038,"D","09/07/2012 00:00:00",70,"F","Mobile/Trailer Home",201209
201209,7,0,18568,399038,"D","09/07/2012 00:00:00",0,"F","Mobile/Trailer Home",201209
201209,7,0,18565,399042,"D","09/07/2012 00:00:00",70,"M","Vehicle/Towed Trailer",201209
201209,10,0,18573,399646,"D","09/10/2012 00:00:00",57,"M","In Water",201209
201209,16,0,18633,401247,"D","09/16/2012 00:00:00",66,"M","In Water",201209
